AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
7.789,2.11,-64,1.106,0.174,-47,9.836,0.56,-68,1,1
7.76,2.142,-64,0.989,0.185,-47,10.51,0.151,-67,1,1
7.731,2.159,-64,1.155,0.083,-47,10.452,0.181,-70,1,1
7.731,2.157,-65,1.077,0.17,-47,10.569,0.243,-69,1,1
7.818,2.154,-64,0.989,0.17,-47,10.608,0.121,-69,1,1
7.76,2.145,-64,1.047,0.098,-47,10.334,0.206,-70,1,1
7.818,2.096,-63,1.038,0.174,-47,10.413,0.121,-66,1,1
7.731,2.18,-63,1.037,0.116,-47,9.866,0.178,-64,1,1
7.76,2.103,-63,1.047,0.074,-47,9.924,0.21,-67,1,1
7.818,2.134,-63,0.998,0.186,-47,10.569,1.759,-67,1,1
7.76,2.164,-64,1.038,0.159,-47,10.295,2.457,-71,1,1
7.76,2.164,-64,1.018,0.153,-47,9.836,0.528,-67,1,1
7.701,2.21,-63,0.998,0.196,-47,16.194,0.143,-71,1,1
7.76,2.164,-63,1.077,0.154,-47,10.608,1.99,-69,1,1
7.917,2.081,-58,1.077,0.149,-47,10.608,1.808,-72,1,1
7.76,2.086,-64,0.842,0.17,-47,10.374,2.171,-68,1,1
7.701,2.193,-63,1.077,0.121,-47,16.135,0.107,-69,1,1
7.818,2.055,-64,1.106,0.104,-47,10.139,2.22,-69,1,1
7.76,2.104,-64,1.047,0.158,-47,10.334,2.379,-69,1,1
7.701,2.116,-64,1.077,0.149,-47,9.602,0.553,-67,1,1
7.789,2.149,-64,0.989,0.15,-47,9.895,0.419,-65,1,1
7.818,2.133,-64,1.106,0.185,-46,9.983,0.36,-65,1,1
7.789,2.071,-64,1.038,0.162,-48,9.836,0.342,-68,1,1
7.643,2.127,-65,0.989,0.103,-47,10.256,2.361,-74,1,1
7.76,2.069,-63,1.047,0.074,-47,10.178,3.789,-73,1,1
7.76,2.201,-65,0.989,0.107,-47,9.778,0.307,-73,1,1
7.731,2.156,-65,1.047,0.158,-47,9.631,0.513,-67,1,1
7.672,2.383,-64,1.077,0.058,-47,10.295,0.251,-71,1,1
7.818,2.113,-63,1.037,0.166,-47,10.374,2.447,-72,1,1
7.877,1.555,-63,1.038,0.175,-46,10.334,0.141,-68,1,1
7.818,0.866,-63,1.047,0.064,-47,9.748,0.318,-68,1,1
7.818,0.907,-63,1.106,0.121,-46,9.983,0.244,-71,1,1
7.701,0.865,-63,1.047,0.158,-47,10.305,0.104,-75,1,1
7.701,1.913,-64,1.047,0.184,-47,9.807,0.42,-68,1,1
7.731,2.101,-60,1.038,0.138,-47,18.01,0.113,-73,1,1
7.731,0.779,-65,1.047,0.174,-48,10.569,1.991,-65,1,1
7.789,0.799,-65,1.077,0.132,-47,9.748,0.57,-64,1,1
7.731,2.098,-64,1.077,0.121,-47,10.842,1.65,-71,1,1
7.672,1.507,-64,1.135,0.138,-47,10.217,1.429,-71,1,1
8.21,1.519,-65,1.018,0.116,-47,10.217,0.299,-68,1,1
7.789,1.954,-65,1.047,0.177,-47,9.436,0.56,-64,1,1
7.672,0.877,-65,1.047,0.109,-47,10.881,1.749,-70,1,1
7.672,1.569,-64,1.018,0.089,-47,15.637,0.102,-68,1,1
7.789,1.586,-64,1.106,0.138,-46,10.413,1.394,-71,1,1
7.525,2.28,-63,0.959,0.132,-47,11.594,0.902,-65,1,1
7.731,2.293,-63,1.018,0.192,-47,9.631,2.129,-67,1,1
7.584,2.125,-64,1.106,0.149,-47,9.983,1.973,-69,1,1
7.555,2.442,-63,0.96,0.205,-47,10.1,1.454,-69,1,1
7.672,2.304,-64,1.077,0.076,-47,10.061,1.905,-69,1,1
7.555,2.056,-63,1.038,0.193,-48,9.719,0.276,-69,1,1
7.701,1.671,-63,1.018,0.158,-47,10.276,0.254,-68,1,1
8.503,1.958,-58,1.047,0.158,-47,10.569,2.524,-70,1,1
7.672,2.288,-62,1.077,0.132,-47,10.334,2.172,-69,1,1
7.643,2.171,-59,1.047,0.125,-47,10.803,1.184,-71,1,1
7.613,2.292,-64,1.047,0.174,-47,10.647,0.792,-68,1,1
7.613,2.314,-64,1.038,0.193,-46,10.491,0.351,-68,1,1
7.584,2.326,-64,0.998,0.186,-47,10.686,2.109,-71,1,1
7.672,2.306,-63,1.077,0.17,-47,10.608,2.203,-70,1,1
7.437,2.322,-64,1.106,0.164,-47,10.178,0.06,-71,1,1
7.643,2.299,-65,1.077,0.12,-46,9.104,0.592,-70,1,1
7.818,2.173,-64,1.135,0.082,-47,9.25,0.661,-70,1,1
7.701,2.309,-64,1.038,0.121,-47,9.221,0.693,-71,1,1
7.877,1.992,-62,1.116,0.138,-47,10.041,0.363,-73,1,1
7.731,0.627,-64,1.038,0.145,-47,9.543,0.393,-73,1,1
7.818,2.174,-64,1.116,0.152,-47,9.602,0.362,-72,1,1
7.76,2.224,-64,1.106,0.058,-47,10.1,2.377,-75,1,1
7.731,0.737,-64,1.106,0.136,-47,10.295,2.898,-73,1,1
7.701,0.882,-64,1.106,0.138,-47,10.139,1.296,-70,1,1
7.818,0.964,-65,1.077,0.175,-48,10.256,0.401,-69,1,1
7.818,2.212,-65,1.077,0.138,-48,10.139,1.849,-70,1,1
7.789,1.902,-65,1.018,0.154,-47,10.295,2.449,-72,1,1
7.731,2.333,-65,1.077,0.196,-48,10.178,2.011,-74,1,1
7.701,2.043,-64,1.018,0.097,-47,10.53,2.529,-73,1,1
7.672,2.293,-64,1.018,0.131,-48,10.725,1.627,-69,1,1
7.643,1.757,-64,1.077,0.151,-48,10.1,0.358,-70,1,1
7.701,2.052,-64,1.018,0.186,-48,10.217,0.33,-69,1,1
7.848,2.027,-64,0.959,0.159,-48,9.924,0.365,-70,1,1
7.672,2.364,-64,1.077,0.185,-48,10.012,0.356,-72,1,1
